,name_list_1,name_list_2,postcode,query,sn,geometry,country,json_data
40,McDonald’s Farrer Road,10 Jalan Serene #01-01 Serene Centre,Singapore 258748,"10 Jalan Serene #01-01 Serene Centre, Singapore 258748",40,POINT (103.813661 1.322507),Singapore,"{'data': [{'latitude': 1.322507, 'longitude': 103.813661, 'type': 'address', 'name': '10 Jalan Serene', 'number': '10', 'postal_code': '258748', 'street': 'Jalan Serene', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '10 Jalan Serene, Singapore'}, {'latitude': 1.322618, 'longitude': 103.813725, 'type': 'address', 'name': '10 Jalan Serene #01-04', 'number': '10', 'postal_code': '258748', 'street': 'Jalan Serene #01-04', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '10 Jalan Serene #01-04, Singapore'}, {'latitude': 1.322574, 'longitude': 103.813738, 'type': 'address', 'name': '10 Jalan Serene #02-09', 'number': '10', 'postal_code': '258748', 'street': 'Jalan Serene #02-09', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '10 Jalan Serene #02-09, Singapore'}]}"
41,McDonald’s Forum Galleria,"583 Orchard Road #B1-25, #B1-33 to #B1-35 Forum The Shopping Mall",Singapore 238884,"583 Orchard Road #B1-25, #B1-33 to #B1-35 Forum The Shopping Mall, Singapore 238884",41,POINT (103.828854 1.306024),Singapore,"{'data': [{'latitude': 1.306024, 'longitude': 103.828854, 'type': 'address', 'name': '583 Orchard Road', 'number': '583', 'postal_code': '238884', 'street': 'Orchard Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '583 Orchard Road, Singapore'}, {'latitude': 39.676218, 'longitude': -75.472695, 'type': 'address', 'name': '583 Orchard Road', 'number': '583', 'postal_code': '08069', 'street': 'Orchard Road', 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Salem County', 'locality': 'Carneys Point', 'administrative_area': 'Carneys Point Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '583 Orchard Road, Carneys Point, NJ, USA'}, {'latitude': 41.177084, 'longitude': -80.327916, 'type': 'address', 'name': '583 Orchard Rd', 'number': '583', 'postal_code': None, 'street': 'Orchard Rd', 'confidence': 1, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Mercer County', 'locality': None, 'administrative_area': 'Lackawannock Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '583 Orchard Rd, Lackawannock Township, PA, USA'}, {'latitude': 36.643549, 'longitude': -80.116158, 'type': 'address', 'name': '583 Trents Orchard Rd', 'number': '583', 'postal_code': '24133', 'street': 'Trents Orchard Rd', 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Patrick County', 'locality': 'Patrick Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '583 Trents Orchard Rd, Patrick Springs, VA, USA'}, {'latitude': 32.607906, 'longitude': -92.700114, 'type': 'address', 'name': '583 Mitcham Orchard Rd', 'number': '583', 'postal_code': None, 'street': 'Mitcham Orchard Rd', 'confidence': 1, 'region': 'Louisiana', 'region_code': 'LA', 'county': 'Lincoln Parish', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '583 Mitcham Orchard Rd, Lincoln Parish, LA, USA'}, {'latitude': 1.306452, 'longitude': 103.828494, 'type': 'address', 'name': '583 Orchard Road, #01-45/46, Forum The Shopping Mall', 'number': '583', 'postal_code': '238884', 'street': 'Orchard Road, #01-45/46, Forum The Shopping Mall', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '583 Orchard Road, #01-45/46, Forum The Shopping Mall, Singapore'}]}"
43,McDonald’s Gardens By The Bay,"18 Marina Gardens Drive #02-04, Garden By The Bay, Visitor Centre",Singapore 018954,"18 Marina Gardens Drive #02-04, Garden By The Bay, Visitor Centre, Singapore 018954",43,POINT (103.865426 1.284366),Singapore,"{'data': [{'latitude': 1.284366, 'longitude': 103.865426, 'type': 'address', 'name': '18 Marina Gardens Drive', 'number': '18', 'postal_code': '018593', 'street': 'Marina Gardens Drive', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '18 Marina Gardens Drive, Singapore'}, {'latitude': 26.84663, 'longitude': -80.069302, 'type': 'address', 'name': '18 Marina Gardens Dr', 'number': '18', 'postal_code': '33410', 'street': 'Marina Gardens Dr', 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Palm Beach County', 'locality': 'Palm Beach Gardens', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '18 Marina Gardens Dr, Palm Beach Gardens, FL, USA'}]}"
44,McDonald’s Gek Poh,762 Jurong West Street 75 #02-250,Singapore 640762,"762 Jurong West Street 75 #02-250, Singapore 640762",44,POINT (103.697808 1.348681),Singapore,"{'data': [{'latitude': 1.348681, 'longitude': 103.697808, 'type': 'address', 'name': '762 Jurong West Street 75', 'number': '762', 'postal_code': '640762', 'street': 'Jurong West Street 75', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '762 Jurong West Street 75, Singapore'}, {'latitude': 1.34907, 'longitude': 103.697972, 'type': 'address', 'name': '762A Jurong West Street 75', 'number': '762A', 'postal_code': '641762', 'street': 'Jurong West Street 75', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '762A Jurong West Street 75, Singapore'}]}"
45,McDonald’s Geylang East Central,113 Aljunied Ave 2 #01-01,Singapore 380113,"113 Aljunied Ave 2 #01-01, Singapore 380113",45,POINT (103.886038 1.320487),Singapore,"{'data': [{'latitude': 1.320487, 'longitude': 103.886038, 'type': 'address', 'name': '113 Aljunied Avenue 2', 'number': '113', 'postal_code': '380113', 'street': 'Aljunied Avenue 2', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '113 Aljunied Avenue 2, Singapore'}]}"
46,McDonald’s Great World City,1 Kim Seng Promenade #01-124 Great World City,Singapore 237994,"1 Kim Seng Promenade #01-124 Great World City, Singapore 237994",46,POINT (103.832008 1.293188),Singapore,"{'data': [{'latitude': 1.293188, 'longitude': 103.832008, 'type': 'address', 'name': '1 Kim Seng Promenade', 'number': '1', 'postal_code': '237994', 'street': 'Kim Seng Promenade', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Kim Seng Promenade, Singapore'}, {'latitude': 1.292927, 'longitude': 103.832012, 'type': 'address', 'name': '1 #03-29 Kim Seng Promenade', 'number': '1 #03-29', 'postal_code': '237994', 'street': 'Kim Seng Promenade', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 #03-29 Kim Seng Promenade, Singapore'}, {'latitude': 1.29315, 'longitude': 103.832149, 'type': 'address', 'name': '03-16, 1 Kim Seng Promenade', 'number': '03-16, 1', 'postal_code': '237994', 'street': 'Kim Seng Promenade', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '03-16, 1 Kim Seng Promenade, Singapore'}, {'latitude': 1.293687, 'longitude': 103.83232, 'type': 'address', 'name': '01-01/02, 1 Kim Seng Promenade', 'number': '01-01/02, 1', 'postal_code': '237994', 'street': 'Kim Seng Promenade', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01-01/02, 1 Kim Seng Promenade, Singapore'}, {'latitude': 1.293641, 'longitude': 103.832382, 'type': 'address', 'name': '1 #01-24/25/26 Kim Seng Promenade', 'number': '1 #01-24/25/26', 'postal_code': '237994', 'street': 'Kim Seng Promenade', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 #01-24/25/26 Kim Seng Promenade, Singapore'}]}"
47,McDonald’s Greenridge Shopping Centre,Blk 524A Jelapang Road #01-02A,Singapore 671524,"Blk 524A Jelapang Road #01-02A, Singapore 671524",47,POINT (103.766139 1.385322),Singapore,"{'data': [{'latitude': 1.385322, 'longitude': 103.766139, 'type': 'address', 'name': '524A Jelapang Road', 'number': '524A', 'postal_code': '671524', 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '524A Jelapang Road, Singapore'}, {'latitude': 1.386002, 'longitude': 103.765856, 'type': 'address', 'name': '524 Jelapang Road', 'number': '524', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '524 Jelapang Road, Singapore'}, {'latitude': 1.385412, 'longitude': 103.766207, 'type': 'address', 'name': '03-13/18 Blk 524A Jelapang Road, Greenridge Shopping Centre', 'number': '03-13/18', 'postal_code': '671524', 'street': 'Blk 524A Jelapang Road, Greenridge Shopping Centre', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '03-13/18 Blk 524A Jelapang Road, Greenridge Shopping Centre, Singapore'}, {'latitude': 1.384676, 'longitude': 103.767067, 'type': 'address', 'name': '504 Jelapang Road', 'number': '504', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '504 Jelapang Road, Singapore'}, {'latitude': 1.386983, 'longitude': 103.765697, 'type': 'address', 'name': '523 Jelapang Road', 'number': '523', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '523 Jelapang Road, Singapore'}, {'latitude': 1.386979, 'longitude': 103.768099, 'type': 'address', 'name': '506 Jelapang Road', 'number': '506', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '506 Jelapang Road, Singapore'}, {'latitude': 1.384972, 'longitude': 103.764732, 'type': 'address', 'name': '532 Jelapang Road', 'number': '532', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '532 Jelapang Road, Singapore'}, {'latitude': 1.387408, 'longitude': 103.769207, 'type': 'address', 'name': '510 Jelapang Road', 'number': '510', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '510 Jelapang Road, Singapore'}, {'latitude': 1.384281, 'longitude': 103.766469, 'type': 'address', 'name': '503 Jelapang Road', 'number': '503', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '503 Jelapang Road, Singapore'}, {'latitude': 1.383367, 'longitude': 103.76361, 'type': 'address', 'name': '540 Jelapang Road', 'number': '540', 'postal_code': None, 'street': 'Jelapang Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '540 Jelapang Road, Singapore'}]}"
48,McDonald’s HarbourFront Centre,"1 Maritime Square #01-87, #01-88 and #01-89 HarbourFront Centre",Singapore 099253,"1 Maritime Square #01-87, #01-88 and #01-89 HarbourFront Centre, Singapore 099253",48,POINT (103.820178 1.264646),Singapore,"{'data': [{'latitude': 1.264646, 'longitude': 103.820178, 'type': 'address', 'name': '1 Maritime Square', 'number': '1', 'postal_code': '099253', 'street': 'Maritime Square', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Maritime Square, Singapore'}]}"
49,McDonald’s Hillion Mall,"17 Petir Road, # B1 – 25 Hillion Mall",Singapore 678278,"17 Petir Road, # B1 – 25 Hillion Mall, Singapore 678278",49,POINT (103.763978 1.378521),Singapore,"{'data': [{'latitude': 1.378521, 'longitude': 103.763978, 'type': 'address', 'name': '17 Petir Road', 'number': '17', 'postal_code': '678278', 'street': 'Petir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '17 Petir Road, Singapore'}, {'latitude': 1.378379, 'longitude': 103.76271, 'type': 'address', 'name': '17 Petir Road, #B1 – 28/29/30 Hillion Mall', 'number': '17', 'postal_code': '678278', 'street': 'Petir Road, #B1 – 28/29/30 Hillion Mall', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '17 Petir Road, #B1 – 28/29/30 Hillion Mall, Singapore'}]}"
50,McDonald’s Hougang,208 Hougang Street 21 #01-217,Singapore 530208,"208 Hougang Street 21 #01-217, Singapore 530208",50,POINT (103.886616 1.358723),Singapore,"{'data': [{'latitude': 1.358723, 'longitude': 103.886616, 'type': 'address', 'name': '208 Hougang Street 21', 'number': '208', 'postal_code': '530208', 'street': 'Hougang Street 21', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '208 Hougang Street 21, Singapore'}, {'latitude': 1.358763, 'longitude': 103.886802, 'type': 'address', 'name': '208 Hougang Street 21 #03-207', 'number': '208', 'postal_code': '530208', 'street': 'Hougang Street 21 #03-207', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '208 Hougang Street 21 #03-207, Singapore'}]}"
51,McDonald’s Hougang 1,1 Hougang Street 91 #01-26/39 Hougang 1,Singapore 538692,"1 Hougang Street 91 #01-26/39 Hougang 1, Singapore 538692",51,POINT (103.879216 1.37595),Singapore,"{'data': [{'latitude': 1.37595, 'longitude': 103.879216, 'type': 'address', 'name': '1 Hougang Street 91', 'number': '1', 'postal_code': '538692', 'street': 'Hougang Street 91', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Hougang Street 91, Singapore'}]}"
52,McDonald’s Hougang 8,684 Hougang Avenue 8 #01-999,Singapore 530684,"684 Hougang Avenue 8 #01-999, Singapore 530684",52,POINT (103.886617 1.374481),Singapore,"{'data': [{'latitude': 1.374481, 'longitude': 103.886617, 'type': 'address', 'name': '684 Hougang Avenue 8', 'number': '684', 'postal_code': '530684', 'street': 'Hougang Avenue 8', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '684 Hougang Avenue 8, Singapore'}]}"
53,McDonald’s Hougang Mall,90 Hougang Avenue 10 #01-17 Hougang Mall,Singapore 538766,"90 Hougang Avenue 10 #01-17 Hougang Mall, Singapore 538766",53,POINT (103.893756 1.37243),Singapore,"{'data': [{'latitude': 1.37243, 'longitude': 103.893756, 'type': 'address', 'name': '90 Hougang Avenue 10', 'number': '90', 'postal_code': '538766', 'street': 'Hougang Avenue 10', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '90 Hougang Avenue 10, Singapore'}, {'latitude': 1.372732, 'longitude': 103.893819, 'type': 'address', 'name': '90 Hougang Ave 10', 'number': '90', 'postal_code': '538766', 'street': 'Hougang Ave 10', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '90 Hougang Ave 10, Singapore'}]}"
54,McDonald’s IMM,2 Jurong East St 21 #01-18 IMM Building,Singapore 609601,"2 Jurong East St 21 #01-18 IMM Building, Singapore 609601",54,POINT (103.728632 1.347118),Singapore,"{'data': [{'latitude': 1.347118, 'longitude': 103.728632, 'type': 'address', 'name': '21 Jurong East Street 31', 'number': '21', 'postal_code': None, 'street': 'Jurong East Street 31', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '21 Jurong East Street 31, Singapore'}, {'latitude': 1.339931, 'longitude': 103.738512, 'type': 'address', 'name': '215 Jurong East Street 21', 'number': '215', 'postal_code': None, 'street': 'Jurong East Street 21', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '215 Jurong East Street 21, Singapore'}, {'latitude': 1.33951, 'longitude': 103.738318, 'type': 'address', 'name': '215A Jurong East Street 21', 'number': '215A', 'postal_code': '601215', 'street': 'Jurong East Street 21', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '215A Jurong East Street 21, Singapore'}, {'latitude': 1.339952, 'longitude': 103.738055, 'type': 'address', 'name': '217 Jurong East Street 21', 'number': '217', 'postal_code': '600217', 'street': 'Jurong East Street 21', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '217 Jurong East Street 21, Singapore'}, {'latitude': 1.339031, 'longitude': 103.739774, 'type': 'address', 'name': '213 Jurong East Street 21', 'number': '213', 'postal_code': None, 'street': 'Jurong East Street 21', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '213 Jurong East Street 21, Singapore'}, {'latitude': 1.340312, 'longitude': 103.737954, 'type': 'address', 'name': '218 Jurong East Street 21', 'number': '218', 'postal_code': '600218', 'street': 'Jurong East Street 21', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '218 Jurong East Street 21, Singapore'}, {'latitude': 1.338783, 'longitude': 103.738821, 'type': 'address', 'name': '210 Jurong East Street 21', 'number': '210', 'postal_code': '600210', 'street': 'Jurong East Street 21', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '210 Jurong East Street 21, Singapore'}]}"
55,McDonald’s JCube,2 Jurong East Central 1 #01-09 JCube,Singapore 609731,"2 Jurong East Central 1 #01-09 JCube, Singapore 609731",55,POINT (103.740221 1.333129),Singapore,"{'data': [{'latitude': 1.333129, 'longitude': 103.740221, 'type': 'address', 'name': '2 Jurong East Central 1', 'number': '2', 'postal_code': '609731', 'street': 'Jurong East Central 1', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '2 Jurong East Central 1, Singapore'}, {'latitude': 1.333015, 'longitude': 103.740085, 'type': 'address', 'name': '01-08A 2 Jurong East Central 1, JCube', 'number': '01-08A', 'postal_code': '609731', 'street': '2 Jurong East Central 1, JCube', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01-08A 2 Jurong East Central 1, JCube, Singapore'}, {'latitude': 1.333498, 'longitude': 103.740498, 'type': 'address', 'name': '01-22/23 2 Jurong East Central 1, Jcube', 'number': '01-22/23', 'postal_code': '609731', 'street': '2 Jurong East Central 1, Jcube', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01-22/23 2 Jurong East Central 1, Jcube, Singapore'}, {'latitude': 1.332704, 'longitude': 103.739537, 'type': 'address', 'name': '21 Jurong East Central 1', 'number': '21', 'postal_code': '609732', 'street': 'Jurong East Central 1', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '21 Jurong East Central 1, Singapore'}, {'latitude': 1.338586, 'longitude': 103.708328, 'type': 'venue', 'name': 'Jurong Central Park', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'Jurong Central Park, Singapore'}, {'latitude': 1.340306, 'longitude': 103.706168, 'type': 'address', 'name': '01-36/37 1 Jurong West Central 2, Jurong Point', 'number': '01-36/37', 'postal_code': '648886', 'street': '1 Jurong West Central 2, Jurong Point', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01-36/37 1 Jurong West Central 2, Jurong Point, Singapore'}, {'latitude': 1.340095, 'longitude': 103.705972, 'type': 'address', 'name': '1 Jurong West Central 2', 'number': '1', 'postal_code': '648886', 'street': 'Jurong West Central 2', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Jurong West Central 2, Singapore'}]}"
56,McDonald’s JEM,"50 Jurong Gateway Road #01-63, #02-55 JEM®",Singapore 608549,"50 Jurong Gateway Road #01-63, #02-55 JEM®, Singapore 608549",56,POINT (103.743737 1.333249),Singapore,"{'data': [{'latitude': 1.333249, 'longitude': 103.743737, 'type': 'address', 'name': '50 Jurong Gateway Road', 'number': '50', 'postal_code': '608549', 'street': 'Jurong Gateway Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '50 Jurong Gateway Road, Singapore'}]}"
57,McDonald’s Jurong Bowl,1 Yuan Ching Road Jurong Family Bowl,Singapore 618640,"1 Yuan Ching Road Jurong Family Bowl, Singapore 618640",57,POINT (103.833828 1.316382),Singapore,"{'data': [{'latitude': 1.316382, 'longitude': 103.833828, 'type': 'locality', 'name': 'Singapore', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'Singapore'}, {'latitude': 1.317709, 'longitude': 103.849462, 'type': 'region', 'name': 'Central Singapore', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'Central Singapore, Singapore'}]}"
